Date,Open,High,Low,Close,Adj Close,Volume
2015-11-11,91.360001,91.379997,91.360001,91.379997,82.969910,268400
2015-11-12,91.360001,91.379997,91.360001,91.379997,82.969910,107150
2015-11-13,91.379997,91.379997,91.360001,91.360001,82.951744,357700
2015-11-16,91.379997,91.379997,91.360001,91.379997,82.969910,1754800
2015-11-17,91.360001,91.379997,91.360001,91.360001,82.951744,230100
2015-11-18,91.360001,91.379997,91.360001,91.360001,82.951744,454100
2015-11-19,91.379997,91.379997,91.360001,91.379997,82.969910,116100
2015-11-20,91.379997,91.379997,91.360001,91.360001,82.951744,536200
2015-11-23,91.360001,91.379997,91.360001,91.379997,82.969910,1124550
2015-11-24,91.360001,91.379997,91.360001,91.360001,82.951744,686550
2015-11-25,91.360001,91.379997,91.360001,91.360001,82.951744,695700
2015-11-27,91.360001,91.379997,91.360001,91.379997,82.969910,3610850
2015-11-30,91.379997,91.379997,91.360001,91.379997,82.969910,153550
2015-12-01,91.379997,91.379997,91.360001,91.360001,82.951744,183750
2015-12-02,91.379997,91.379997,91.360001,91.360001,82.951744,520800
2015-12-03,91.379997,91.379997,91.360001,91.379997,82.969910,529300
2015-12-04,91.379997,91.379997,91.360001,91.379997,82.969910,398850
2015-12-07,91.360001,91.379997,91.360001,91.379997,82.969910,239750
2015-12-08,91.379997,91.379997,91.360001,91.360001,82.951744,101150
2015-12-09,91.360001,91.360001,91.339996,91.339996,82.933563,411700
2015-12-10,91.379997,91.379997,91.360001,91.360001,82.951744,581700
2015-12-11,91.360001,91.379997,91.360001,91.379997,82.969910,673250
2015-12-14,91.360001,91.379997,91.360001,91.379997,82.969910,4853350
2015-12-15,91.360001,91.379997,91.360001,91.360001,82.951744,2550350
2015-12-16,91.379997,91.379997,91.360001,91.379997,82.969910,623400
2015-12-17,91.360001,91.379997,91.360001,91.360001,82.951744,1134550
2015-12-18,91.360001,91.379997,91.360001,91.379997,82.969910,877500
2015-12-21,91.360001,91.379997,91.360001,91.360001,82.951744,1594500
2015-12-22,91.360001,91.379997,91.360001,91.360001,82.951744,988400
2015-12-23,91.379997,91.379997,91.360001,91.360001,82.951744,247900
2015-12-24,91.360001,91.379997,91.360001,91.379997,82.969910,521050
2015-12-28,91.379997,91.379997,91.360001,91.360001,82.951744,243750
2015-12-29,91.379997,91.379997,91.360001,91.360001,82.951744,173050
2015-12-30,91.379997,91.379997,91.360001,91.379997,82.969910,299100
2015-12-31,91.379997,91.379997,91.360001,91.360001,82.951744,447800
2016-01-04,91.379997,91.379997,91.360001,91.379997,82.969910,1065800
2016-01-05,91.360001,91.379997,91.360001,91.379997,82.969910,4878450
2016-01-06,91.360001,91.360001,91.339996,91.339996,82.933563,377400
2016-01-07,91.379997,91.379997,91.360001,91.360001,82.951744,651350
2016-01-08,91.360001,91.379997,91.360001,91.360001,82.951744,585650
2016-01-11,91.360001,91.379997,91.360001,91.360001,82.951744,1457550
2016-01-12,91.339996,91.379997,91.339996,91.379997,82.969910,441900
2016-01-13,91.360001,91.379997,91.339996,91.360001,82.951744,2031450
2016-01-14,91.379997,91.379997,91.339996,91.339996,82.933563,1757450
2016-01-15,91.339996,91.360001,91.339996,91.339996,82.933563,601550
2016-01-19,91.360001,91.360001,91.339996,91.360001,82.951744,4424450
2016-01-20,91.360001,91.379997,91.360001,91.360001,82.951744,738700
2016-01-21,91.360001,91.379997,91.360001,91.379997,82.969910,1290650
2016-01-22,91.379997,91.379997,91.339996,91.339996,82.933563,1004350
2016-01-25,91.360001,91.360001,91.339996,91.360001,82.951744,605250
2016-01-26,91.360001,91.360001,91.339996,91.339996,82.933563,311800
2016-01-27,91.360001,91.360001,91.339996,91.360001,82.951744,1668300
2016-01-28,91.339996,91.360001,91.339996,91.360001,82.951744,163800
2016-01-29,91.339996,91.379997,91.339996,91.379997,82.969910,793200
2016-02-01,91.360001,91.379997,91.339996,91.339996,82.933563,844900
2016-02-02,91.339996,91.360001,91.339996,91.339996,82.933563,1627300
2016-02-03,91.360001,91.379997,91.339996,91.360001,82.951744,2395650
2016-02-04,91.360001,91.379997,91.360001,91.379997,82.969910,275450
2016-02-05,91.379997,91.379997,91.360001,91.379997,82.969910,324200
2016-02-08,91.379997,91.379997,91.360001,91.360001,82.951744,599450
2016-02-09,91.379997,91.379997,91.360001,91.379997,82.969910,869550
2016-02-10,91.360001,91.379997,91.360001,91.360001,82.951744,610950
2016-02-11,91.379997,91.379997,91.360001,91.379997,82.969910,465450
2016-02-12,91.379997,91.379997,91.360001,91.360001,82.951744,438850
2016-02-16,91.379997,91.379997,91.360001,91.360001,82.951744,392650
2016-02-17,91.379997,91.379997,91.360001,91.360001,82.951744,1282250
2016-02-18,91.379997,91.379997,91.360001,91.379997,82.969910,712250
2016-02-19,91.379997,91.379997,91.360001,91.379997,82.969910,911150
2016-02-22,91.379997,91.379997,91.360001,91.379997,82.969910,201600
2016-02-23,91.379997,91.379997,91.360001,91.360001,82.951744,1000450
2016-02-24,91.379997,91.379997,91.360001,91.379997,82.969910,664950
2016-02-25,91.360001,91.379997,91.360001,91.360001,82.951744,1243200
2016-02-26,91.360001,91.379997,91.360001,91.360001,82.951744,883250
2016-02-29,91.379997,91.379997,91.360001,91.379997,82.969910,1613200
2016-03-01,91.360001,91.379997,91.360001,91.379997,82.969910,630600
2016-03-02,91.379997,91.379997,91.360001,91.360001,82.951744,1869950
2016-03-03,91.360001,91.379997,91.360001,91.379997,82.969910,1296950
2016-03-04,91.379997,91.379997,91.360001,91.379997,82.969910,2205550
2016-03-07,91.379997,91.379997,91.360001,91.379997,82.969910,908700
2016-03-08,91.360001,91.379997,91.360001,91.360001,82.951744,542200
2016-03-09,91.360001,91.379997,91.360001,91.379997,82.969910,661400
2016-03-10,91.360001,91.379997,91.360001,91.379997,82.969910,198500
2016-03-11,91.360001,91.379997,91.360001,91.360001,82.951744,383600
2016-03-14,91.360001,91.379997,91.360001,91.360001,82.951744,292700
2016-03-15,91.379997,91.379997,91.360001,91.360001,82.951744,2669300
2016-03-16,91.360001,91.379997,91.360001,91.379997,82.969910,306250
2016-03-17,91.379997,91.400002,91.360001,91.360001,82.951744,199450
2016-03-18,91.379997,91.379997,91.360001,91.360001,82.951744,598800
2016-03-21,91.360001,91.379997,91.360001,91.379997,82.969910,1510600
2016-03-22,91.360001,91.379997,91.360001,91.379997,82.969910,286650
2016-03-23,91.360001,91.379997,91.360001,91.360001,82.951744,260400
2016-03-24,91.360001,91.379997,91.360001,91.379997,82.969910,711350
2016-03-28,91.379997,91.400002,91.379997,91.379997,82.969910,347950
2016-03-29,91.379997,91.400002,91.379997,91.379997,82.969910,631250
2016-03-30,91.400002,91.400002,91.379997,91.379997,82.969910,264000
2016-03-31,91.379997,91.400002,91.379997,91.379997,82.969910,2956800
2016-04-01,91.379997,91.400002,91.379997,91.379997,82.969910,942500
2016-04-04,91.379997,91.400002,91.379997,91.379997,82.969910,1619200
2016-04-05,91.400002,91.400002,91.379997,91.400002,82.988037,1829950
2016-04-06,91.379997,91.400002,91.379997,91.400002,82.988037,1081800
2016-04-07,91.379997,91.400002,91.379997,91.379997,82.969910,1307000
2016-04-08,91.379997,91.400002,91.379997,91.400002,82.988037,191950
2016-04-11,91.379997,91.400002,91.379997,91.379997,82.969910,587150
2016-04-12,91.400002,91.400002,91.379997,91.379997,82.969910,169600
2016-04-13,91.379997,91.400002,91.379997,91.400002,82.988037,182400
2016-04-14,91.379997,91.400002,91.379997,91.400002,82.988037,143950
2016-04-15,91.400002,91.400002,91.379997,91.379997,82.969910,219000
2016-04-18,91.379997,91.400002,91.379997,91.400002,82.988037,1972050
2016-04-19,91.379997,91.400002,91.379997,91.400002,82.988037,138400
2016-04-20,91.400002,91.400002,91.379997,91.400002,82.988037,199350
2016-04-21,91.400002,91.400002,91.379997,91.379997,82.969910,446300
2016-04-22,91.400002,91.400002,91.379997,91.400002,82.988037,388450
2016-04-25,91.379997,91.400002,91.379997,91.379997,82.969910,515350
2016-04-26,91.379997,91.400002,91.379997,91.400002,82.988037,250000
2016-04-27,91.400002,91.400002,91.379997,91.400002,82.988037,104050
2016-04-28,91.379997,91.400002,91.379997,91.400002,82.988037,274200
2016-04-29,91.400002,91.419998,91.400002,91.419998,83.006210,722100
2016-05-02,91.419998,91.419998,91.400002,91.400002,82.988037,370050
2016-05-03,91.400002,91.419998,91.400002,91.419998,83.006210,665850
2016-05-04,91.400002,91.419998,91.400002,91.400002,82.988037,700400
2016-05-05,91.400002,91.419998,91.400002,91.400002,82.988037,578500
2016-05-06,91.400002,91.419998,91.400002,91.419998,83.006210,2157200
2016-05-09,91.419998,91.419998,91.400002,91.419998,83.006210,108850
2016-05-10,91.400002,91.419998,91.400002,91.419998,83.006210,875050
2016-05-11,91.400002,91.400002,91.379997,91.379997,82.969910,156800
2016-05-12,91.400002,91.400002,91.379997,91.379997,82.969910,189900
2016-05-13,91.379997,91.400002,91.379997,91.379997,82.969910,512850
2016-05-16,91.379997,91.400002,91.379997,91.379997,82.969910,184500
2016-05-17,91.400002,91.400002,91.379997,91.379997,82.969910,410200
2016-05-18,91.400002,91.419998,91.400002,91.400002,82.988037,1319700
2016-05-19,91.379997,91.400002,91.379997,91.379997,82.969910,122150
2016-05-20,91.400002,91.419998,91.379997,91.400002,82.988037,389400
2016-05-23,91.400002,91.419998,91.379997,91.419998,83.006210,827400
2016-05-24,91.400002,91.419998,91.379997,91.379997,82.969910,612800
2016-05-25,91.400002,91.400002,91.379997,91.400002,82.988037,242100
2016-05-26,91.400002,91.419998,91.379997,91.400002,82.988037,284150
2016-05-27,91.400002,91.419998,91.400002,91.419998,83.006210,270350
2016-05-31,91.419998,91.419998,91.379997,91.419998,83.006210,498850
2016-06-01,91.400002,91.419998,91.400002,91.419998,83.006210,578400
2016-06-02,91.400002,91.419998,91.400002,91.400002,82.988037,175600
2016-06-03,91.419998,91.440002,91.400002,91.419998,83.006210,735650
2016-06-06,91.419998,91.440002,91.419998,91.440002,83.024376,365550
2016-06-07,91.419998,91.440002,91.419998,91.440002,83.024376,154600
2016-06-08,91.419998,91.440002,91.419998,91.440002,83.024376,250550
2016-06-09,91.440002,91.440002,91.400002,91.400002,82.988037,1767200
2016-06-10,91.400002,91.419998,91.400002,91.400002,82.988037,278100
2016-06-13,91.419998,91.419998,91.400002,91.400002,82.988037,159100
2016-06-14,91.400002,91.419998,91.400002,91.400002,82.988037,771300
2016-06-15,91.419998,91.419998,91.400002,91.400002,82.988037,683100
2016-06-16,91.419998,91.440002,91.400002,91.419998,83.006210,876400
2016-06-17,91.419998,91.440002,91.400002,91.400002,82.988037,463250
2016-06-20,91.400002,91.419998,91.400002,91.419998,83.006210,130900
2016-06-21,91.419998,91.440002,91.400002,91.419998,83.006210,965700
2016-06-22,91.419998,91.419998,91.400002,91.419998,83.006210,171250
2016-06-23,91.400002,91.419998,91.400002,91.419998,83.006210,1232700
2016-06-24,91.400002,91.419998,91.400002,91.400002,82.988037,640800
2016-06-27,91.400002,91.440002,91.400002,91.400002,82.988037,3124250
2016-06-28,91.419998,91.440002,91.400002,91.400002,82.988037,794050
2016-06-29,91.440002,91.440002,91.400002,91.400002,82.988037,1667550
2016-06-30,91.419998,91.440002,91.400002,91.400002,82.988037,690150
2016-07-01,91.419998,91.440002,91.400002,91.440002,83.024376,511550
2016-07-05,91.419998,91.440002,91.400002,91.440002,83.024376,1129200
2016-07-06,91.440002,91.440002,91.400002,91.419998,83.006210,734450
2016-07-07,91.419998,91.440002,91.419998,91.440002,83.024376,199950
2016-07-08,91.440002,91.440002,91.400002,91.419998,83.006210,724150
2016-07-11,91.440002,91.440002,91.400002,91.440002,83.024376,580150
2016-07-12,91.419998,91.419998,91.400002,91.400002,82.988037,1158200
2016-07-13,91.400002,91.419998,91.400002,91.419998,83.006210,422500
2016-07-14,91.419998,91.440002,91.400002,91.440002,83.024376,2044250
2016-07-15,91.419998,91.440002,91.419998,91.419998,83.006210,93400
2016-07-18,91.419998,91.440002,91.419998,91.419998,83.006210,167100
2016-07-19,91.419998,91.440002,91.419998,91.440002,83.024376,447400
2016-07-20,91.419998,91.440002,91.419998,91.440002,83.024376,167500
2016-07-21,91.419998,91.440002,91.419998,91.440002,83.024376,116700
2016-07-22,91.419998,91.440002,91.419998,91.440002,83.024376,180450
